Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota,Palavras/Link,cont_tags,quão_escondido
Correlação de Pearson vs. Spearman,2025-09-21,2025-09-21,[],285,17,01 - Progetos\zData Analyst\Estatística\Correlação de Pearson vs. Spearman.md,5.768115942028985,0,3
Correlação de Pearson,2025-09-21,2025-09-21,[],288,2,01 - Progetos\zData Analyst\Estatística\Correlação de Pearson.md,0.6884955752212389,0,3
Correlação de Spearman,2025-09-21,2025-09-21,[],421,4,01 - Progetos\zData Analyst\Estatística\Correlação de Spearman.md,0.7382352941176471,0,3
Correlação vs. Causalidade,2025-09-21,2025-09-21,[],272,3,01 - Progetos\zData Analyst\Estatística\Correlação vs. Causalidade.md,0.9880668257756563,0,3
Covariância,2025-01-07,2025-01-03,['Conceito'],265,0,01 - Progetos\zData Analyst\Estatística\Covariância.md,0.24713302752293578,1,3
Dados assimétricos,2025-01-03,2025-01-03,['Conceito'],45,5,01 - Progetos\zData Analyst\Estatística\Dados assimétricos.md,5.5979020979020975,1,3
Decis,2025-09-19,2025-09-19,[],72,2,01 - Progetos\zData Analyst\Estatística\Decis.md,2.1663716814159293,0,3
Densidade de probabilidade,2025-01-09,2025-01-09,['Conceito'],49,0,01 - Progetos\zData Analyst\Estatística\Densidade de probabilidade.md,0.8698394495412844,1,3
Desvio médio absoluto,2025-01-03,2025-01-03,[],99,1,01 - Progetos\zData Analyst\Estatística\Desvio médio absoluto.md,1.1451428571428572,0,3
Desvio padrão,2025-01-25,2025-01-03,['Comando'],59,5,01 - Progetos\zData Analyst\Estatística\Desvio padrão.md,4.863636363636363,1,3
Desvio,2025-01-07,2025-01-07,['Conceito'],16,1,01 - Progetos\zData Analyst\Estatística\Desvio.md,2.4594285714285715,1,3
Dispersão,2025-01-06,2025-01-02,['Conceito'],79,0,01 - Progetos\zData Analyst\Estatística\Dispersão.md,0.6668577981651376,1,3
Distribuição Binomial,2025-09-21,2025-09-21,['Comando'],498,10,01 - Progetos\zData Analyst\Estatística\Distribuição Binomial.md,1.3759398496240602,1,3
Distribuição de Poisson,2025-09-21,,"['data_criacao:', '2025-09-21']",450,11,01 - Progetos\zData Analyst\Estatística\Distribuição de Poisson.md,1.9739130434782608,2,3
Distribuição normal,2025-01-03,2025-01-03,['Conceito'],29,3,01 - Progetos\zData Analyst\Estatística\Distribuição normal.md,4.508353221957041,1,3
DMA vx Variância,2025-01-07,2025-01-07,['Conceito'],221,0,01 - Progetos\zData Analyst\Estatística\DMA vx Variância.md,0.30160550458715596,1,3
Erro padrão & Desvio padrão,2025-01-25,2025-01-09,['Conceito'],34,2,01 - Progetos\zData Analyst\Estatística\Erro padrão & Desvio padrão.md,3.1646017699115045,1,3
Erro padrão,2025-01-25,2025-01-09,[],45,1,01 - Progetos\zData Analyst\Estatística\Erro padrão.md,1.8297142857142856,0,3
Estatística Descritiva,2024-09-03,2024-09-03,['DataAnalyst'],78,11,01 - Progetos\zData Analyst\Estatística\Estatística Descritiva.md,10.191304347826087,1,3
